,Region,2020,2021,2022,2023,2024
0,AL & FL,713462,680709,863776,743114,714559
1,AR,1138141,1211655,1389079,1184950,1639965
2,AZ & NM,343793,377916,373795,287449,327968
3,CA,444638,275027,322003,203807,284835
4,GA,2361630,2724818,3285003,2463551,2379306
5,KS & OK,768436,803146,432715,390544,492820
6,LA,390281,255930,413815,244549,379254
7,MO,314436,315831,398195,382134,388113
8,MS,1067486,1061060,1257975,941894,1180144
9,NC & VA,675848,983077,1277299,979736,1096419
10,SC,299245,397329,439319,317943,326930
11,TN,1351859,1141253,1436318,1407072,1573756
12,TX,5356270,8211674,3465156,3115180,4786833
