,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607806,599816,70207,136521,341353,2123,307,1066,344849
1,AR,1317165,1240091,645050,228431,938199,8023,162,1501,947885
2,AZ & NM,267096,267096,120371,69400,228840,17693,1642,1667,249842
3,CA,304091,304091,189031,7720,230884,27297,2926,3335,264442
4,GA,2274600,1798009,228787,703146,1278950,29238,4964,2750,1315902
5,KS & OK,714853,692704,92551,152607,447638,910,139,505,449192
6,LA,264630,264278,77676,30475,120666,362,112,1242,122382
7,MO,320299,320299,118226,77436,226294,844,37,198,227373
8,MS,878449,699796,394523,95636,514740,3616,369,2746,521471
9,NC & VA,945638,832613,122057,204072,543143,12995,2700,2038,560876
10,SC,287077,274018,119491,44993,203226,1545,166,489,205426
11,TN,950260,850489,555963,130749,726520,14640,1405,1822,744387
12,TX,6151617,5188627,1153486,692363,3461787,120008,17706,32037,3631538
13,--TOTAL,15283581,13331927,3887419,2573549,9262240,239294,32635,51396,9585565
