,Region,2021,2022,2023,2024,2025
0,AL & FL,630330,784275,718016,681230,577162
1,AR,1141014,1215076,1135173,1515052,1230630
2,AZ & NM,249206,227429,206443,203850,158585
3,CA,264454,283702,194803,247782,238068
4,GA,2192959,2754030,2055268,1867862,1747778
5,KS & OK,597781,361391,363692,414733,484965
6,LA,255700,398350,244542,379169,264248
7,MO,295165,382382,364243,371203,310303
8,MS,946152,1241029,930251,1140108,747392
9,NC & VA,930455,1173993,913719,963005,810721
10,SC,328515,374732,279688,291843,250933
11,TN,1054284,1269531,1255264,1414086,814239
12,TX,6702045,3136664,2956962,4121673,4855904
